['2023-08-10 00:14:33', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:15:46', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:16:00', 'startCamera is in initializing...']
['2023-08-10 00:16:00', 'cam_initial']
['2023-08-10 00:16:00', 'startCamera initial is done']
['2023-08-10 00:16:13', 'imagesave_thread./ImageSave_2023-08-10/20230810_001613.png Saved']
['2023-08-10 00:17:38', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:17:44', 'startCamera is in initializing...']
['2023-08-10 00:17:44', 'cam_initial']
['2023-08-10 00:17:44', 'startCamera initial is done']
['2023-08-10 00:52:14', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:52:36', 'startCamera is in initializing...']
['2023-08-10 00:52:36', 'cam_initial']
['2023-08-10 00:52:37', 'startCamera initial is done']
['2023-08-10 00:54:10', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:54:18', 'startCamera is in initializing...']
['2023-08-10 00:54:18', 'cam_initial']
['2023-08-10 00:54:18', 'startCamera initial is done']
['2023-08-10 00:54:21', 'imagesave_thread./ImageSave_2023-08-10/20230810_005421.png Saved']
['2023-08-10 00:54:22', 'imagesave_thread./ImageSave_2023-08-10/20230810_005422.png Saved']
['2023-08-10 00:54:24', 'imagesave_thread./ImageSave_2023-08-10/20230810_005424.png Saved']
['2023-08-10 00:54:25', 'imagesave_thread./ImageSave_2023-08-10/20230810_005425.png Saved']
['2023-08-10 00:54:26', 'imagesave_thread./ImageSave_2023-08-10/20230810_005426.png Saved']
['2023-08-10 00:56:55', '***** BK Solution Work Logger Start *****']
['2023-08-10 00:58:33', '***** BK Solution Work Logger Start *****']
